[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1507043426.059000 10/3/2017, 11:10:26 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, PMO
INFO, WEIGHT, 6.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MvsH_up_quick_500eO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1507053206.488,,1.400000e+003,3.000012e+002,5.126535e-002,3.031857e-006,3,9.919448e-001,5.914046e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
1507053353.969,,1.200000e+003,2.999932e+002,5.106086e-002,5.031705e-006,3,9.919184e-001,9.854330e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507053500.527,,1.000000e+003,2.999964e+002,5.075096e-002,4.269686e-006,3,9.918970e-001,8.413015e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507053640.228,,9.000000e+002,2.999932e+002,5.052668e-002,4.275922e-006,3,9.918458e-001,8.462701e-003,,,,,,,,,,,,,,24,3,4.000000e+000,2.890015e-002,0.000000e+000,0,,0,
1507053786.803,,8.000000e+002,2.999964e+002,5.023320e-002,3.652780e-007,3,9.917695e-001,7.271644e-004,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507053926.714,,7.000000e+002,2.999948e+002,4.984814e-002,2.583495e-006,3,9.917912e-001,5.182731e-003,,,,,,,,,,,,,,24,3,4.000000e+000,2.890015e-002,0.000000e+000,0,,0,
1507054072.733,,6.000000e+002,2.999964e+002,4.930765e-002,3.170609e-006,3,9.917538e-001,6.430259e-003,,,,,,,,,,,,,,24,3,4.000000e+000,2.890015e-002,0.000000e+000,0,,0,
1507054220.293,,5.000000e+002,2.999964e+002,4.853200e-002,3.730333e-006,3,9.916782e-001,7.686337e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507054359.515,,4.500000e+002,3.000045e+002,4.801453e-002,2.693183e-006,3,9.916644e-001,5.609099e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
1507054499.035,,4.000000e+002,3.000060e+002,4.737750e-002,1.760652e-006,3,9.916246e-001,3.716219e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.704590e-003,0.000000e+000,0,,0,
1507054637.917,,3.500000e+002,2.999964e+002,4.658599e-002,2.794190e-006,3,9.915693e-001,5.997919e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
