Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,12009836.49,300.0277137625,1999.959,1000,9.99851742812291,,3.20396101660024E-6,0.00117724670047496,-4.64638752598226E-6,0.00117725586968009,-0.226135280560527,-1.52951593676405E-8,4.42840644954408E-10,1.53015688057906E-8,178.341578987353,333,5,5,13.4965986394558,0.757658162977266,0.000745731163609665,4369,0,299.9972534,300.0454102,1999.959,1999.959,,296.9054,,,,,,,,,,,,,,,,,,,,,,,300.0277137625
,12009850.17,300.04388425,1999.959,,,1.15260209389729,0.000204707256638261,,,,,,,,,1,5,0,2.26499978452921,0.757658162977266,0.00622698686539226,4369,0,300.0363464,300.0514221,1999.959,1999.959,0.744119749237196,296.9721,,,,,,,,,,,,,,,,,,,,,,,300.04388425
,12009912.36,300.0231056375,2199.957,1000,9.99862073495016,,2.02004945481634E-6,0.000836925317503251,-3.6223229138917E-6,0.000836933156411675,-0.247982125429814,-1.52949218431975E-8,4.42359979281364E-10,1.5301317477289E-8,178.343352345633,333,5,5,13.4965986394558,0.757658162977266,0.000568175173474068,4369,0,300.0151978,300.0332642,2199.957,2199.957,,296.909025,,,,,,,,,,,,,,,,,,,,,,,300.0231056375
,12009925.92,300.03474425,2199.957,,,1.17360408959696,0.000203717935801036,,,,,,,,,1,5,0,2.18699967954308,0.757658162977266,0.00632745767003368,4369,0,300.0242004,300.0452881,2199.957,2199.957,0.741757087321626,296.90665,,,,,,,,,,,,,,,,,,,,,,,300.03474425
,12009980.41,300.0437889,2400.125,1000,9.99833208963621,,1.25104640330313E-6,0.000620853151444105,-2.75804575079109E-6,0.000620859277513383,-0.25452611678088,-1.52952711300375E-8,4.42508074622495E-10,1.53016709001816E-8,178.342835857805,333,5,5,13.4965986394558,0.757658162977266,0.000456855617503129,4369,0,300.0302429,300.0543213,2400.125,2400.125,,296.8677,,,,,,,,,,,,,,,,,,,,,,,300.0437889
,12009993.88,300.04133605,2400.125,,,1.18926553239787,0.000201981539523037,,,,,,,,,1,5,0,2.26500041317195,0.757658162977266,0.00645619906873964,4369,0,300.0362549,300.0464172,2400.125,2400.125,0.741149394726867,296.88555,,,,,,,,,,,,,,,,,,,,,,,300.04133605
,12010048.29,300.050518025,2600.029,1000,9.9984673901102,,8.63821490225322E-7,0.000479872177251141,-2.04697925943869E-6,0.000479876543106494,-0.244403752754351,-1.52950844688406E-8,4.42577300868131E-10,1.53014863191852E-8,178.34255653867,333,5,5,13.4965986394558,0.757658162977266,0.000385761312171751,4369,0,300.031311,300.0704651,2600.029,2600.029,,296.822575,,,,,,,,,,,,,,,,,,,,,,,300.050518025
,12010061.89,300.0513153,2600.029,,,1.20145123870849,0.000203505085094011,,,,,,,,,1,5,0,2.23400015383959,0.757658162977266,0.00655451565668376,4369,0,300.0483093,300.0543213,2600.029,2600.029,0.742454733305575,296.8138,,,,,,,,,,,,,,,,,,,,,,,300.0513153
,12010116.50,300.0397796375,2800.179,1000,9.99849391407137,,6.25745404410928E-7,0.000385376039253814,-1.59973442653353E-6,0.000385379359568195,-0.237839136788693,-1.52950350102808E-8,4.42575413839687E-10,1.53014368267379E-8,178.342558245059,333,5,5,13.4965986394558,0.757658162977266,0.000339651485686318,4369,0,300.0162048,300.0523376,2800.179,2800.179,,296.89625,,,,,,,,,,,,,,,,,,,,,,,300.0397796375
,12010129.91,300.04632565,2800.179,,,1.20873462736784,0.000203891999457488,,,,,,,,,1,5,0,2.23400015383959,0.757658162977266,0.00651595903675049,4369,0,300.0403137,300.0523376,2800.179,2800.179,0.741789978230813,296.88955,,,,,,,,,,,,,,,,,,,,,,,300.04632565
